bioguideId,invertedOrderName,currentMember,terms,startYear,birthYear,sponsoredLegislation,cosponsoredLegislation
L000604,"Lopez, Greg",True,1,2024,1964,N/A,12
G000579,"Gallagher, Mike",False,4,2017,1984,171,885
B001297,"Buck, Ken",False,5,2015,1959,123,801
P000604,"Payne, Donald M.",False,7,2012,1958,123,2946
C000537,"Clyburn, James E.",True,16,1993,1940,118,2706
I000024,"Inhofe, James M.",False,19,1987,1934,1297,5465
R000619,"Rulli, Michael A.",True,1,2024,1969,N/A,19
F000476,"Frost, Maxwell",True,1,2023,1997,15,463
F000480,"Fong, Vince",True,1,2024,1979,3,32
J000292,"Johnson, Bill",False,7,2011,1954,101,2163
R000122,"Reed, Jack",True,17,1991,1949,1102,4618
N000051,"Nethercutt, George R., Jr.",False,5,1995,1944,84,1194
M001188,"Meng, Grace",True,6,2013,1975,279,3173
C001132,"Crane, Elijah",True,1,2023,1980,25,753
C001084,"Cicilline, David N.",False,7,2011,1961,265,3849
V000135,"Van Orden, Derrick",True,1,2023,1969,30,283
G000600,"Perez, Marie Gluesenkamp",True,1,2023,1988,25,311
H001096,"Hageman, Harriet M.",True,1,2023,1962,66,286
B001318,"Balint, Becca",True,1,2023,1968,20,379
S001159,"Strickland, Marilyn",True,2,2021,1962,29,896
G000595,"Good, Bob",True,2,2021,1965,107,1218
F000471,"Fitzgerald, Scott",True,2,2021,1963,47,346
T000165,"Tiffany, Thomas P.",True,3,2020,1957,54,737
M001205,"Miller, Carol D.",True,3,2019,1950,67,693
S001213,"Steil, Bryan",True,3,2019,1981,59,494
S001216,"Schrier, Kim",True,3,2019,1968,79,931
W000825,"Wexton, Jennifer",True,3,2019,1968,61,839
S001209,"Spanberger, Abigail Davis",True,3,2019,1979,108,1365
C001118,"Cline, Ben",True,3,2019,1972,30,787
J000298,"Jayapal, Pramila",True,4,2017,1965,150,2567
M001195,"Mooney, Alexander X.",True,5,2015,1971,88,1512
G000576,"Grothman, Glenn",True,5,2015,1955,149,1708
N000189,"Newhouse, Dan",True,5,2015,1955,135,1343
P000610,"Plaskett, Stacey E.",True,5,2015,1966,114,865
B001292,"Beyer, Donald S.",True,5,2015,1950,201,2157
P000607,"Pocan, Mark",True,6,2013,1964,147,4168
K000381,"Kilmer, Derek",True,6,2013,1974,193,3494
D000617,"DelBene, Suzan K.",True,7,2012,1962,133,2713
G000568,"Griffith, H. Morgan",True,7,2011,1958,179,1121
C001078,"Connolly, Gerald E.",True,8,2009,1950,322,4387
S000510,"Smith, Adam",True,14,1997,1965,215,4663
M001160,"Moore, Gwen",True,10,2005,1951,252,5683
M001159,"McMorris Rodgers, Cathy",True,10,2005,1969,213,2388
L000560,"Larsen, Rick",True,12,2001,1965,164,3384
M001228,"Maloy, Celeste",True,1,2023,1981,14,66
M001227,"McClellan, Jennifer L.",True,1,2023,1972,17,373
S001224,"Self, Keith",True,1,2023,1953,25,292
O000175,"Ogles, Andrew",True,1,2023,1971,143,376
M001224,"Moran, Nathaniel",True,1,2023,1974,20,208
L000603,"Luttrell, Morgan",True,1,2023,1975,21,137
K000399,"Kiggans, Jennifer A.",True,1,2023,1971,24,265
H001095,"Hunt, Wesley",True,1,2023,1981,6,147
F000478,"Fry, Russell",True,1,2023,1985,12,218
D000594,"De La Cruz, Monica",True,1,2023,1974,22,297
C001130,"Crockett, Jasmine",True,1,2023,1981,19,600
C001131,"Casar, Greg",True,1,2023,1989,6,361
E000071,"Ellzey, Jake",True,2,2021,1970,7,479
V000134,"Van Duyne, Beth",True,2,2021,1970,61,524
P000048,"Pfluger, August",True,2,2021,1977,95,527
O000086,"Owens, Burgess",True,2,2021,1951,37,585
N000026,"Nehls, Troy E.",True,2,2021,1968,59,479
M001213,"Moore, Blake D.",True,2,2021,1980,51,364
M000194,"Mace, Nancy",True,2,2021,1977,87,803
J000304,"Jackson, Ronny",True,2,2021,1967,66,785
H001086,"Harshbarger, Diana",True,2,2021,1960,43,593
G000594,"Gonzales, Tony",True,2,2021,1980,56,395
F000246,"Fallon, Pat",True,2,2021,1967,40,501
A000376,"Allred, Colin Z.",True,3,2019,1983,46,1290
G000587,"Garcia, Sylvia R.",True,3,2019,1950,67,1359
R000614,"Roy, Chip",True,3,2019,1972,159,1041
E000299,"Escobar, Veronica",True,3,2019,1969,56,1203
F000468,"Fletcher, Lizzie",True,3,2019,1975,46,865
G000589,"Gooden, Lance",True,3,2019,1982,55,850
C001120,"Crenshaw, Dan",True,3,2019,1984,73,951
G000590,"Green, Mark E.",True,3,2019,1964,95,530
R000612,"Rose, John W.",True,3,2019,1965,28,508
B001309,"Burchett, Tim",True,3,2019,1964,81,577
J000301,"Johnson, Dusty",True,3,2019,1976,94,571
T000480,"Timmons, William R.",True,3,2019,1984,24,741
C001115,"Cloud, Michael",True,4,2018,1975,47,614
C001114,"Curtis, John R.",True,4,2017,1960,131,690
N000190,"Norman, Ralph",True,4,2017,1953,151,1816
A000375,"Arrington, Jodey C.",True,4,2017,1972,123,669
G000581,"Gonzalez, Vicente",True,4,2017,1967,43,1382
K000392,"Kustoff, David",True,4,2017,1966,78,740
B001291,"Babin, Brian",True,5,2015,1948,88,1941
V000131,"Veasey, Marc A.",True,6,2013,1971,110,2166
W000816,"Williams, Roger",True,6,2013,1949,102,1173
C001091,"Castro, Joaquin",True,6,2013,1974,157,1408
W000814,"Weber, Randy K.",True,6,2013,1953,83,2579
W000804,"Wittman, Robert J.",True,9,2007,1959,183,2582
D000616,"DesJarlais, Scott",True,7,2011,1964,51,1390
F000459,"Fleischmann, Charles J. ""Chuck""",True,7,2011,1962,41,1238
D000615,"Duncan, Jeff",True,7,2011,1966,127,2452
C001068,"Cohen, Steve",True,9,2007,1949,427,7766
S000250,"Sessions, Pete",True,13,1997,1955,436,4394
G000377,"Granger, Kay",True,14,1997,1943,101,1957
S000185,"Scott, Robert C. ""Bobby""",True,16,1993,1947,313,4315
C001063,"Cuellar, Henry",True,10,2005,1955,120,2310
M001157,"McCaul, Michael T.",True,10,2005,1962,245,3069
G000553,"Green, Al",True,10,2005,1947,319,3638
C001051,"Carter, John R.",True,11,2003,1941,136,2194
B001248,"Burgess, Michael C.",True,11,2003,1950,435,2570
W000795,"Wilson, Joe",True,12,2001,1947,312,4418
D000399,"Doggett, Lloyd",True,15,1995,1946,241,3352
J000032,"Jackson Lee, Sheila",False,15,1995,1950,1109,9690
K000402,"Kennedy, Timothy M.",True,1,2024,1976,2,109
A000380,"Amo, Gabe",True,1,2023,1987,1,216
W000828,"Williams, Brandon",True,1,2023,1967,16,298
S001223,"Sykes, Emilia Strong",True,1,2023,1986,20,196
S001226,"Salinas, Andrea",True,1,2023,1969,20,564
M001221,"Molinaro, Marcus J.",True,1,2023,1975,56,412
M001222,"Miller, Max L.",True,1,2023,1988,18,197
M001223,"Magaziner, Seth",True,1,2023,1983,18,488
L000602,"Lee, Summer L.",True,1,2023,1987,8,419
L000599,"Lawler, Michael",True,1,2023,1986,68,1171
L000600,"Langworthy, Nicholas A.",True,1,2023,1981,28,329
L000601,"Landsman, Greg",True,1,2023,1976,12,357
H001094,"Hoyle, Val T.",True,1,2023,1964,10,297
D000530,"Deluzio, Christopher R.",True,1,2023,1984,16,434
C001135,"Chavez-DeRemer, Lori",True,1,2023,1968,21,350
B001317,"Brecheen, Josh",True,1,2023,1979,31,244
R000579,"Ryan, Patrick",True,2,2022,1982,20,357
C001126,"Carey, Mike",True,2,2021,1971,30,371
B001313,"Brown, Shontel M.",True,2,2021,1975,18,628
B001223,"Bowman, Jamaal",True,2,2021,1976,36,1088
B000740,"Bice, Stephanie I.",True,2,2021,1973,49,557
B000668,"Bentz, Cliff",True,2,2021,1952,14,242
R000610,"Reschenthaler, Guy",True,3,2019,1983,51,1088
J000302,"Joyce, John",True,3,2019,1957,39,667
M001204,"Meuser, Daniel",True,3,2019,1964,47,906
H001085,"Houlahan, Chrissy",True,3,2019,1967,84,1188
D000631,"Dean, Madeleine",True,3,2019,1959,97,1689
W000826,"Wild, Susan",True,4,2018,1957,75,1864
H001082,"Hern, Kevin",True,4,2018,1961,52,622
M001206,"Morelle, Joseph D.",True,4,2018,1957,104,1508
S001205,"Scanlon, Mary Gay",True,4,2018,1959,91,1775
B001306,"Balderson, Troy",True,4,2018,1962,37,888
G000582,"González-Colón, Jenniffer",True,4,2017,1976,165,1112
S001199,"Smucker, Lloyd",True,4,2017,1964,75,814
F000466,"Fitzpatrick, Brian K.",True,4,2017,1973,164,4357
T000478,"Tenney, Claudia",True,3,2017,1961,143,1198
E000296,"Evans, Dwight",True,5,2016,1954,49,2509
D000626,"Davidson, Warren",True,5,2016,1970,110,686
B001296,"Boyle, Brendan F.",True,5,2015,1977,111,1997
S001196,"Stefanik, Elise M.",True,5,2015,1984,167,2053
C001090,"Cartwright, Matt",True,6,2013,1961,365,2882
P000605,"Perry, Scott",True,6,2013,1962,271,1442
J000295,"Joyce, David P.",True,6,2013,1957,116,1679
B001281,"Beatty, Joyce",True,6,2013,1950,153,2786
W000815,"Wenstrup, Brad R.",True,6,2013,1958,107,1258
B001278,"Bonamici, Suzanne",True,7,2012,1954,218,3462
L000566,"Latta, Robert E.",True,9,2007,1956,221,2218
K000376,"Kelly, Mike",True,7,2011,1948,151,2104
J000289,"Jordan, Jim",True,9,2007,1964,54,1302
T000467,"Thompson, Glenn",True,8,2009,1959,128,2159
T000469,"Tonko, Paul",True,8,2009,1949,193,4009
B000574,"Blumenauer, Earl",True,15,1995,1948,499,8050
L000491,"Lucas, Frank D.",True,16,1993,1960,108,2057
C001053,"Cole, Tom",True,11,2003,1949,209,3164
T000463,"Turner, Michael R.",True,11,2003,1960,182,1996
K000009,"Kaptur, Marcy",True,21,1983,1946,492,10008
V000136,"Vasquez, Gabe",True,1,2023,1984,29,229
N000194,"Nickel, Wiley",True,1,2023,1975,11,412
M001226,"Menendez, Robert",True,1,2023,1985,9,242
L000598,"LaLota, Nick",True,1,2023,1978,31,331
K000398,"Kean, Thomas H.",True,1,2023,1968,27,364
J000308,"Jackson, Jeff",True,1,2023,1982,13,213
G000599,"Goldman, Daniel S.",True,1,2023,1976,19,605
E000246,"Edwards, Chuck",True,1,2023,1960,26,262
D000632,"D'Esposito, Anthony",True,1,2023,1982,34,398
F000474,"Flood, Mike",True,2,2022,1975,15,239
S001218,"Stansbury, Melanie A.",True,2,2021,1979,22,1027
T000486,"Torres, Ritchie",True,2,2021,1988,108,879
M001135,"Manning, Kathy E.",True,2,2021,1956,24,728
M000317,"Malliotakis, Nicole",True,2,2021,1980,78,700
L000273,"Leger Fernandez, Teresa",True,2,2021,1959,63,577
G000597,"Garbarino, Andrew R.",True,2,2021,1984,55,778
B001311,"Bishop, Dan",True,3,2019,1964,41,606
O000172,"Ocasio-Cortez, Alexandria",True,3,2019,1989,62,1232
L000590,"Lee, Susie",True,3,2019,1966,74,941
S001207,"Sherrill, Mikie",True,3,2019,1972,90,1188
K000394,"Kim, Andy",True,3,2019,1982,92,1452
V000133,"Van Drew, Jefferson",True,3,2019,1953,109,1652
P000614,"Pappas, Chris",True,3,2019,1980,119,1697
A000377,"Armstrong, Kelly",True,3,2019,1976,40,590
E000297,"Espaillat, Adriano",True,4,2017,1954,185,2561
S001201,"Suozzi, Thomas R.",True,4,2017,1962,57,2150
G000583,"Gottheimer, Josh",True,4,2017,1975,110,2289
B001298,"Bacon, Don",True,4,2017,1963,143,2171
W000822,"Watson Coleman, Bonnie",True,5,2015,1945,150,3416
R000603,"Rouzer, David",True,5,2015,1972,69,1430
N000188,"Norcross, Donald",True,6,2014,1958,85,1511
A000370,"Adams, Alma S.",True,6,2014,1946,155,2018
J000294,"Jeffries, Hakeem S.",True,6,2013,1970,128,1554
H001066,"Horsford, Steven",True,4,2013,1973,81,1333
K000382,"Kuster, Ann M.",True,6,2013,1956,161,3515
H001067,"Hudson, Richard",True,6,2013,1971,124,1494
A000369,"Amodei, Mark E.",True,7,2011,1958,95,1432
C001067,"Clarke, Yvette D.",True,9,2007,1964,181,5350
S001172,"Smith, Adrian",True,9,2007,1970,111,1548
T000468,"Titus, Dina",True,7,2009,1950,196,3689
P000034,"Pallone, Frank",True,19,1987,1951,557,6477
P000096,"Pascrell, Bill",False,14,1997,1937,357,4932
M001137,"Meeks, Gregory W.",True,14,1997,1953,196,5600
V000081,"Velázquez, Nydia M.",True,16,1993,1953,453,5194
S000522,"Smith, Christopher H.",True,22,1981,1953,883,7417
N000002,"Nadler, Jerrold",True,17,1991,1947,526,7154
M001156,"McHenry, Patrick T.",True,10,2005,1975,136,1483
F000450,"Foxx, Virginia",True,10,2005,1943,227,1654
T000488,"Thanedar, Shri",True,1,2023,1955,26,520
S001221,"Scholten, Hillary J.",True,1,2023,1982,11,304
J000307,"James, John",True,1,2023,1981,35,159
I000058,"Ivey, Glenn",True,1,2023,1961,7,358
F000477,"Foushee, Valerie P.",True,1,2023,1956,7,334
E000235,"Ezell, Mike",True,1,2023,1959,12,196
D000230,"Davis, Donald G.",True,1,2023,1971,24,776
B001316,"Burlison, Eric",True,1,2023,1976,24,237
A000379,"Alford, Mark",True,1,2023,1963,24,179
F000475,"Finstad, Brad",True,2,2022,1976,31,395
R000305,"Ross, Deborah K.",True,2,2021,1963,49,1192
R000103,"Rosendale, Matthew M.",True,2,2021,1960,92,1019
M001136,"McClain, Lisa C.",True,2,2021,1966,51,425
F000470,"Fischbach, Michelle",True,2,2021,1965,42,358
B001224,"Bush, Cori",True,2,2021,1976,39,718
A000148,"Auchincloss, Jake",True,2,2021,1988,11,745
M001210,"Murphy, Gregory F.",True,3,2019,1963,78,625
G000592,"Golden, Jared F.",True,3,2019,1982,72,679
G000591,"Guest, Michael",True,3,2019,1970,41,845
S001212,"Stauber, Pete",True,3,2019,1966,73,936
O000173,"Omar, Ilhan",True,3,2019,1982,105,1739
P000616,"Phillips, Dean",True,3,2019,1969,83,1544
C001119,"Craig, Angie",True,3,2019,1972,96,1569
T000481,"Tlaib, Rashida",True,3,2019,1976,94,2205
S001215,"Stevens, Haley M.",True,3,2019,1983,68,1179
S001208,"Slotkin, Elissa",True,3,2019,1976,158,1250
T000483,"Trone, David J.",True,3,2019,1955,105,2561
P000617,"Pressley, Ayanna",True,3,2019,1974,113,1562
T000482,"Trahan, Lori",True,3,2019,1973,58,1250
B001301,"Bergman, Jack",True,4,2017,1947,77,796
R000606,"Raskin, Jamie",True,4,2017,1962,104,3360
K000388,"Kelly, Trent",True,5,2015,1966,55,936
Z000018,"Zinke, Ryan K.",True,3,2015,1961,41,555
E000294,"Emmer, Tom",True,5,2015,1961,119,1101
D000624,"Dingell, Debbie",True,5,2015,1953,196,2423
M001194,"Moolenaar, John R.",True,5,2015,1961,58,1263
M001196,"Moulton, Seth",True,5,2015,1978,88,2509
C001101,"Clark, Katherine M.",True,6,2013,1963,82,1810
W000812,"Wagner, Ann",True,6,2013,1962,115,1466
K000380,"Kildee, Daniel T.",True,6,2013,1958,144,2224
S001195,"Smith, Jason",True,6,2013,1980,116,1050
H001058,"Huizenga, Bill",True,7,2011,1969,137,1498
H001052,"Harris, Andy",True,7,2011,1957,44,1639
K000375,"Keating, William R.",True,7,2011,1952,148,2552
S001177,"Sablan, Gregorio Kilili Camacho",True,8,2009,1955,155,1804
W000798,"Walberg, Tim",True,8,2007,1951,199,2001
S001168,"Sarbanes, John P.",True,9,2007,1962,104,2239
L000569,"Luetkemeyer, Blaine",True,8,2009,1952,230,1899
P000597,"Pingree, Chellie",True,8,2009,1955,155,4236
M000312,"McGovern, James P.",True,14,1997,1959,402,11284
T000193,"Thompson, Bennie G.",True,16,1993,1948,239,5111
N000015,"Neal, Richard E.",True,18,1989,1949,233,4550
M000687,"Mfume, Kweisi",True,8,1987,1948,78,2546
C001061,"Cleaver, Emanuel",True,10,2005,1944,208,3820
R000576,"Ruppersberger, C. A. Dutch",True,11,2003,1946,94,3127
L000562,"Lynch, Stephen F.",True,12,2001,1955,240,3990
G000546,"Graves, Sam",True,12,2001,1963,253,1955
M001143,"McCollum, Betty",True,12,2001,1954,161,6528
H000874,"Hoyer, Steny H.",True,22,1981,1939,374,3947
T000487,"Tokuda, Jill N.",True,1,2023,1976,32,967
S001225,"Sorensen, Eric",True,1,2023,1976,11,288
R000617,"Ramirez, Delia C.",True,1,2023,1983,10,462
N000193,"Nunn, Zachary",True,1,2023,1979,58,394
M001219,"Moylan, James C.",True,1,2023,1962,30,311
M001220,"McGarvey, Morgan",True,1,2023,1979,19,317
M001218,"McCormick, Richard",True,1,2023,1968,34,237
J000309,"Jackson, Jonathan L.",True,1,2023,1966,6,484
H001093,"Houchin, Erin",True,1,2023,1976,20,258
C001129,"Collins, Mike",True,1,2023,1967,13,155
B001315,"Budzinski, Nikki",True,1,2023,1977,14,421
Y000067,"Yakym, Rudy",True,2,2022,1984,19,264
C001125,"Carter, Troy A.",True,2,2021,1963,43,788
L000595,"Letlow, Julia",True,2,2021,1981,12,304
S000929,"Spartz, Victoria",True,2,2021,1978,30,264
M001215,"Miller-Meeks, Mariannette",True,2,2021,1955,73,933
M001214,"Mrvan, Frank J.",True,2,2021,1969,14,464
M001211,"Miller, Mary E.",True,2,2021,1959,49,948
M000871,"Mann, Tracey",True,2,2021,1976,47,834
L000266,"LaTurner, Jake",True,2,2021,1988,19,519
H001091,"Hinson, Ashley",True,2,2021,1983,59,660
G000596,"Greene, Marjorie Taylor",True,2,2021,1974,82,331
F000446,"Feenstra, Randy",True,2,2021,1969,67,564
C001116,"Clyde, Andrew S.",True,2,2021,1963,41,370
D000629,"Davids, Sharice",True,3,2019,1980,41,1036
P000615,"Pence, Greg",True,3,2019,1956,32,407
B001307,"Baird, James R.",True,3,2019,1945,28,833
U000040,"Underwood, Lauren",True,3,2019,1986,90,823
C001117,"Casten, Sean",True,3,2019,1971,81,1415
G000586,"García, Jesús G. ""Chuy""",True,3,2019,1956,64,1978
F000469,"Fulcher, Russ",True,3,2019,1962,32,437
M001208,"McBath, Lucy",True,3,2019,1960,52,1029
E000298,"Estes, Ron",True,4,2017,1956,48,601
J000299,"Johnson, Mike",True,4,2017,1972,66,667
H001077,"Higgins, Clay",True,4,2017,1961,111,818
B001299,"Banks, Jim",True,4,2017,1979,160,1118
K000391,"Krishnamoorthi, Raja",True,4,2017,1973,127,1882
C001108,"Comer, James",True,5,2016,1972,38,533
L000585,"LaHood, Darin",True,5,2015,1968,102,890
G000577,"Graves, Garret",True,5,2015,1972,102,662
B001295,"Bost, Mike",True,5,2015,1960,111,1353
A000372,"Allen, Rick W.",True,5,2015,1951,51,1226
L000583,"Loudermilk, Barry",True,5,2015,1963,57,897
B001282,"Barr, Andy",True,6,2013,1973,158,1503
S001190,"Schneider, Bradley Scott",True,5,2013,1961,180,1670
M001184,"Massie, Thomas",True,7,2012,1971,90,776
B001275,"Bucshon, Larry",True,7,2011,1962,93,1469
S001189,"Scott, Austin",True,7,2011,1969,64,1487
Q000023,"Quigley, Mike",True,8,2009,1958,182,3274
G000558,"Guthrie, Brett",True,8,2009,1964,127,1666
S001176,"Scalise, Steve",True,9,2008,1965,107,976
F000454,"Foster, Bill",True,8,2008,1955,249,2331
C001072,"Carson, André",True,9,2008,1974,152,5385
K000385,"Kelly, Robin L.",True,6,2013,1956,134,2292
S001148,"Simpson, Michael K.",True,13,1999,1950,155,2123
S001145,"Schakowsky, Janice D.",True,13,1999,1944,417,9684
D000096,"Davis, Danny K.",True,14,1997,1941,384,7077
R000395,"Rogers, Harold",True,22,1981,1937,141,2827
S001157,"Scott, David",True,11,2003,1945,95,3333
C001055,"Case, Ed",True,6,2002,1952,104,2667
P000620,"Pettersen, Brittany",True,1,2023,1981,22,445
M001217,"Moskowitz, Jared",True,1,2023,1980,14,453
M001216,"Mills, Cory",True,1,2023,1980,19,214
L000596,"Luna, Anna Paulina",True,1,2023,1989,42,263
L000597,"Lee, Laurel M.",True,1,2023,1974,12,175
G000598,"Garcia, Robert",True,1,2023,1977,24,335
C001134,"Caraveo, Yadira",True,1,2023,1980,34,574
B001314,"Bean, Aaron",True,1,2023,1967,17,200
C001127,"Cherfilus-McCormick, Sheila",True,2,2022,1979,24,800
K000397,"Kim, Young",True,2,2021,1962,56,687
W000788,"Williams, Nikema",True,2,2021,1978,94,1473
S001135,"Steel, Michelle",True,2,2021,1955,64,417
S000168,"Salazar, Maria Elvira",True,2,2021,1961,51,953
J000305,"Jacobs, Sara",True,2,2021,1989,47,983
G000593,"Gimenez, Carlos A.",True,2,2021,1954,45,609
F000472,"Franklin, C. Scott",True,2,2021,1964,31,592
D000032,"Donalds, Byron",True,2,2021,1978,118,1025
C001039,"Cammack, Kat",True,2,2021,1988,45,554
B000825,"Boebert, Lauren",True,2,2021,1986,127,641
S001214,"Steube, W. Gregory",True,3,2019,1978,163,1345
W000823,"Waltz, Michael",True,3,2019,1974,76,854
H001081,"Hayes, Jahana",True,3,2019,1973,86,2305
C001121,"Crow, Jason",True,3,2019,1979,124,1304
N000191,"Neguse, Joe",True,3,2019,1984,262,2008
L000593,"Levin, Mike",True,3,2019,1978,97,1415
P000618,"Porter, Katie",True,3,2019,1974,177,1814
F000465,"Ferguson, A. Drew",True,4,2017,1966,39,772
M001199,"Mast, Brian J.",True,4,2017,1980,113,1113
S001200,"Soto, Darren",True,4,2017,1978,136,3052
R000609,"Rutherford, John H.",True,4,2017,1952,40,1410
D000628,"Dunn, Neal P.",True,4,2017,1953,62,952
G000578,"Gaetz, Matt",True,4,2017,1982,91,1723
B001303,"Blunt Rochester, Lisa",True,4,2017,1962,101,2070
C001110,"Correa, J. Luis",True,4,2017,1958,95,1506
B001300,"Barragán, Nanette Diaz",True,4,2017,1976,92,2552
C001103,"Carter, Earl L. ""Buddy""",True,5,2015,1957,145,1511
F000462,"Frankel, Lois",True,6,2013,1948,85,1950
P000608,"Peters, Scott H.",True,6,2013,1958,205,2995
V000130,"Vargas, Juan",True,6,2013,1961,76,2730
T000472,"Takano, Mark",True,6,2013,1960,201,3489
W000808,"Wilson, Frederica S.",True,7,2011,1942,149,3452
W000806,"Webster, Daniel",True,7,2011,1949,49,1073
J000288,"Johnson, Henry C. ""Hank""",True,9,2007,1954,234,5111
B001260,"Buchanan, Vern",True,9,2007,1951,166,1642
C001066,"Castor, Kathy",True,9,2007,1966,186,3270
B001257,"Bilirakis, Gus M.",True,9,2007,1963,267,2714
